name,ticket,price,tickets_purchased
Abdula,NTU Academic Year 2025/6,299.0,1
Zhasmin,Network Grouprider,13.0,3
Malika,Under 22 Annual Network Rider,859.0,1
Murat,Under 22 Annual Network Rider,860.0,1
Aisha,Bilborough College Academic Year 2025/6,299.0,1
Guest,Under 22 Annual Cityrider,399.0,1
Mia,Under 22 Annual Network Rider,850.0,1
Guest,Network Grouprider,13.0,3
Guest,UON Academic Year 2025/6,299.0,1
Dariya,NTU Academic Year 2025/6,299.0,1
Owen,NTU Academic Year 2025/6,299.0,1
Kate,NTU Academic Year 2025/6,299.0,1
Guest,NTU Academic Year 2025/6,299.0,1
Guest,NTU Academic Year 2025/6,299.0,1
Guest,NTU Academic Year 2025/6,299.0,1
Guest,NTU Academic Year 2025/6,299.0,1
Guest,Under 22 24 Hour Cityrider,170.0,1
Guest,Under 22 Annual Network Rider,850.0,1
Guest,Under 22 Annual Network Rider,859.0,1
Matthew,UON Academic Year 2025/6,299.0,1
